full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,registered_year_Imputation,km_group,max_power_clean_bhp,mileage_number,mileage_unit,boxcox_resale_price
2020 Mahindra XUV300 W8 BSVI,12240.74,2020.0,1197.0,Zero Dep,Manual,12214.0,First Owner,Petrol,5.0,16.82 kmpl,SUV,Bangalore,2020.0,0-20k,108.0,16.82,kmpl,3.451809173587186
2018 Maruti Ertiga ZXI Petrol,10006.06,2019.0,1462.0,Comprehensive,Manual,68796.0,First Owner,Petrol,7.0,19.34 kmpl,MUV,Bangalore,2018.0,60k-100k,103.0,19.34,kmpl,3.4348765613991263
2018 Hyundai EON 1.0 Magna Plus Option O,4002.42,2018.0,998.0,Comprehensive,Manual,36800.0,Second Owner,Petrol,5.0,20.3 kmpl,Hatchback,Bangalore,2018.0,20k-60k,68.0,20.3,kmpl,3.345358957272423
2011 Maruti Swift 1.2 VXI BSIV,4447.14,2011.0,1197.0,No Insurance,Manual,81529.0,Second Owner,Petrol,5.0,16.1 kmpl,Hatchback,Bangalore,2011.0,60k-100k,83.84,16.1,kmpl,3.356796723820971
2019 Ford Ecosport 1.5 Petrol Titanium BSIV,10272.88,2019.0,1497.0,Comprehensive,Manual,11000.0,First Owner,Petrol,5.0,17 kmpl,SUV,Bangalore,2019.0,0-20k,121.0,17.0,kmpl,3.4371390167478766
2011 Hyundai i20 1.2 Sportz,4158.07,2011.0,1197.0,No Insurance,Manual,34852.0,First Owner,Petrol,5.0,17 kmpl,Hatchback,Bangalore,2011.0,20k-60k,78.91,17.0,kmpl,3.3495376719709813
2014 Honda Amaze S i-Vtech,4280.37,2015.0,1198.0,Comprehensive,Manual,70498.0,First Owner,Petrol,5.0,18 kmpl,Sedan,Gurgaon,2014.0,60k-100k,86.0,18.0,kmpl,3.3526844981655155
2010 Maruti Zen Estilo LX BSIII,2167.98,2010.0,998.0,Third Party,Manual,90385.0,Third Owner,Petrol,5.0,18.2 kmpl,Hatchback,Chandigarh,2010.0,60k-100k,67.0,18.2,kmpl,3.2720495782982733
2014 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,31685.84,2014.0,2360.0,Comprehensive,Automatic,59000.0,First Owner,Diesel,7.0,11.3 kmpl,SUV,Delhi,2014.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2018 Hyundai Grand i10 Sportz Petrol BSIV,6559.53,2018.0,1197.0,Third Party,Manual,35000.0,First Owner,Petrol,5.0,18.9 kmpl,Hatchback,Delhi,2018.0,20k-60k,81.0,18.9,kmpl,3.396321276478827
2020 Toyota Fortuner 2.8 4WD AT,31685.84,2020.0,2360.0,Third Party,Automatic,37000.0,First Owner,Diesel,7.0,15.04 kmpl,SUV,Delhi,2020.0,20k-60k,174.0,15.04,kmpl,3.5205203265693656
2014 Toyota Fortuner 4x2 AT,15842.92,2014.0,2360.0,Comprehensive,Automatic,66200.0,First Owner,Diesel,7.0,12.55 kmpl,SUV,Delhi,2014.0,60k-100k,168.0,13.0,kmpl,3.4721940561360425
2018 Tata Nexon 1.5 Revotorq XZ Plus,8616.33,2018.0,1497.0,Third Party,Manual,30200.0,First Owner,Diesel,5.0,21.5 kmpl,SUV,Delhi,2018.0,20k-60k,108.0,21.5,kmpl,3.4217161182659885
2017 BMW X1 sDrive 20d xLine,20012.11,2017.0,1995.0,Comprehensive,Automatic,45000.0,Third Owner,Diesel,5.0,20.68 kmpl,SUV,Delhi,2017.0,20k-60k,187.0,20.68,kmpl,3.4894865542618585
2018 Hyundai Creta 1.6 SX Option,13619.35,2018.0,1591.0,Third Party,Manual,24000.0,First Owner,Petrol,5.0,15.8 kmpl,SUV,Delhi,2018.0,20k-60k,121.0,15.8,kmpl,3.4604128909118343
2017 BMW 5 Series 520d Luxury Line,31685.84,2018.0,1995.0,Third Party,Automatic,39000.0,Second Owner,Diesel,5.0,18.12 kmpl,Sedan,Delhi,2017.0,20k-60k,187.0,18.12,kmpl,3.5205203265693656
2018 Toyota Corolla Altis 1.8 G CVT,14175.25,2018.0,1798.0,Comprehensive,Automatic,36200.0,Second Owner,Petrol,5.0,14.28 kmpl,Sedan,Delhi,2018.0,20k-60k,138.0,14.28,kmpl,3.463575669614945
2018 Jeep Compass 1.4 Limited Plus,18344.44,2018.0,1368.0,Comprehensive,Automatic,25000.0,First Owner,Petrol,5.0,14.1 kmpl,SUV,Delhi,2018.0,20k-60k,160.0,14.1,kmpl,3.4831711227445514
2017 BMW X1 sDrive 20d xLine,22791.57,2017.0,1995.0,Comprehensive,Automatic,65000.0,Second Owner,Diesel,5.0,20.68 kmpl,SUV,Delhi,2017.0,60k-100k,187.0,20.68,kmpl,3.498657683372446
2021 Mercedes-Benz S-Class S 350 d,31685.84,2021.0,2360.0,Comprehensive,Automatic,34000.0,First Owner,Diesel,5.0,13.5 kmpl,Sedan,Delhi,2021.0,20k-60k,187.0,13.5,kmpl,3.5205203265693656
2022 BMW X7 xDrive 30d DPE,2167.98,2022.0,2360.0,Comprehensive,Automatic,58000.0,First Owner,Diesel,7.0,13.38 kmpl,SUV,Delhi,2022.0,20k-60k,187.0,13.38,kmpl,3.2720495782982733
2017 Mercedes-Benz CLS-Class 250 CDI,31129.95,2017.0,2143.0,Comprehensive,Automatic,55000.0,Second Owner,Diesel,4.0,19.4 kmpl,Sedan,Delhi,2017.0,20k-60k,187.0,19.4,kmpl,3.519393939306425
2017 Toyota Camry 2.5 Hybrid,19400.63,2017.0,2360.0,Comprehensive,Automatic,75000.0,Second Owner,Petrol,5.0,19.16 kmpl,Sedan,Delhi,2017.0,60k-100k,157.0,19.16,kmpl,3.4872509393574376
2020 Mercedes-Benz GLC 200,31685.84,2020.0,1991.0,Comprehensive,Automatic,42000.0,First Owner,Petrol,5.0,12.74 kmpl,SUV,Delhi,2020.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2016 Honda CR-V 2.0L 2WD AT,18233.26,2016.0,1997.0,Comprehensive,Automatic,28000.0,First Owner,Petrol,5.0,13.7 kmpl,SUV,Delhi,2016.0,20k-60k,153.0,13.7,kmpl,3.482724400238092
2020 Mercedes-Benz E-Class Exclusive E 220d,31685.84,2020.0,1950.0,Comprehensive,Automatic,40000.0,First Owner,Diesel,5.0,16.1 kmpl,Sedan,Delhi,2020.0,20k-60k,187.0,16.1,kmpl,3.5205203265693656
2016 Mercedes-Benz C-Class Progressive C 220d,31685.84,2016.0,1950.0,Comprehensive,Automatic,21000.0,First Owner,Diesel,5.0,12.6 kmpl,Sedan,Delhi,2016.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2022 Mercedes-Benz GLC Coupe 300d 4MATIC,31685.84,2022.0,1950.0,Comprehensive,Automatic,14000.0,First Owner,Diesel,5.0,16.34 kmpl,Coupe,Delhi,2022.0,0-20k,187.0,16.34,kmpl,3.5205203265693656
2011 Hyundai EON Magna,2167.98,2012.0,998.0,Comprehensive,Manual,120000.0,First Owner,Petrol,5.0,22 kmpl,Hatchback,Chandigarh,2011.0,100k+,58.0,22.0,kmpl,3.2720495782982733
2018 Hyundai Santro Sportz SE AMT BSIV,5503.33,2018.0,1086.0,Comprehensive,Automatic,18000.0,First Owner,Petrol,5.0,20.3 kmpl,Hatchback,Delhi,2018.0,0-20k,68.0,20.3,kmpl,3.378972216652173
2019 Ford Endeavour 3.2 Titanium AT 4X4,31685.84,2019.0,2360.0,Comprehensive,Automatic,23000.0,First Owner,Diesel,7.0,10.91 kmpl,SUV,Delhi,2019.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2003 Maruti Wagon R LXI,31685.84,2003.0,998.0,Third Party,Manual,120000.0,First Owner,Petrol,5.0,21.79 kmpl,Hatchback,Chandigarh,2003.0,100k+,67.0,21.79,kmpl,3.5205203265693656
2014 Honda City i VTEC V,5280.97,2014.0,1497.0,Third Party,Manual,52227.0,First Owner,Petrol,5.0,17.8 kmpl,Sedan,Chandigarh,2014.0,20k-60k,117.0,17.8,kmpl,3.3747777248255977
2019 Kia Seltos GTX Option,16565.58,2019.0,1353.0,Comprehensive,Manual,51000.0,First Owner,Petrol,5.0,16.5 kmpl,SUV,Delhi,2019.0,20k-60k,138.0,16.5,kmpl,3.475579261781447
2020 MG Hector Sharp DCT,18355.55,2020.0,1451.0,Third Party,Automatic,20000.0,First Owner,Petrol,5.0,13.96 kmpl,SUV,Delhi,2020.0,0-20k,141.0,13.96,kmpl,3.4832155744234576
2017 Mercedes-Benz E-Class Expression E 200 BSIV,31685.84,2017.0,1991.0,Comprehensive,Automatic,57000.0,First Owner,Petrol,5.0,15 kmpl,Sedan,Delhi,2017.0,20k-60k,187.0,15.0,kmpl,3.5205203265693656
2022 Mercedes-Benz GLC 200,31685.84,2022.0,1991.0,Comprehensive,Automatic,17800.0,First Owner,Petrol,5.0,12.74 kmpl,SUV,Delhi,2022.0,0-20k,187.0,13.0,kmpl,3.5205203265693656
2012 BMW 7 Series 740Li,14342.01,2012.0,2360.0,Comprehensive,Automatic,68000.0,Second Owner,Petrol,5.0,12.05 kmpl,Sedan,Delhi,2012.0,60k-100k,187.0,13.0,kmpl,3.4644939500055543
2020 Mercedes-Benz C-Class Progressive C 200,31685.84,2020.0,1950.0,Comprehensive,Automatic,11000.0,First Owner,Petrol,5.0,11.9 kmpl,Sedan,Delhi,2020.0,0-20k,187.0,13.0,kmpl,3.5205203265693656
2017 Mahindra XUV500 AT W10 1.99 mHawk,11896.09,2017.0,1997.0,Comprehensive,Automatic,76000.0,First Owner,Diesel,7.0,16 kmpl,SUV,Gurgaon,2017.0,60k-100k,140.0,16.0,kmpl,3.4494649916778073
2019 Hyundai Creta 1.4 EX Diesel,11062.25,2019.0,1396.0,Comprehensive,Manual,22000.0,First Owner,Diesel,5.0,22.1 kmpl,SUV,Delhi,2019.0,20k-60k,88.0,22.1,kmpl,3.4434192395951095
2010 Hyundai i10 Era 1.1 iTech SE,2167.98,2010.0,1086.0,Comprehensive,Manual,52600.0,First Owner,Petrol,5.0,19.81 kmpl,Hatchback,Gurgaon,2010.0,20k-60k,68.0,19.81,kmpl,3.2720495782982733
2018 Mahindra XUV500 W10 1.99 mHawk,11506.96,2018.0,1997.0,Third Party,Manual,68000.0,Second Owner,Diesel,7.0,16 kmpl,SUV,Gurgaon,2018.0,60k-100k,140.0,16.0,kmpl,3.446712682291668
2016 Toyota Corolla Altis 1.8 G,9450.16,2016.0,1798.0,Comprehensive,Manual,81000.0,First Owner,Petrol,5.0,14.28 kmpl,Sedan,Gurgaon,2016.0,60k-100k,138.0,14.28,kmpl,3.42990762463412
2011 Volkswagen Vento Petrol Highline,3946.83,2011.0,1598.0,Comprehensive,Manual,11000.0,First Owner,Petrol,5.0,15.04 kmpl,Sedan,Gurgaon,2011.0,0-20k,103.0,15.04,kmpl,3.3438163872791566
2021 Ford Endeavour Titanium Plus 4X2 AT,31685.84,2021.0,1996.0,Comprehensive,Automatic,40000.0,Second Owner,Diesel,7.0,13.9 kmpl,SUV,Delhi,2021.0,20k-60k,167.0,13.9,kmpl,3.5205203265693656
2015 Audi A4 35 TFSi Premium,22235.68,2015.0,1798.0,Comprehensive,Automatic,34000.0,Second Owner,Petrol,5.0,15.64 kmpl,Sedan,Delhi,2015.0,20k-60k,167.0,15.64,kmpl,3.4969407221107804
2019 BMW 5 Series 530i M Sport,31685.84,2019.0,1998.0,Comprehensive,Automatic,23000.0,First Owner,Petrol,5.0,15.01 kmpl,Sedan,Delhi,2019.0,20k-60k,187.0,15.01,kmpl,3.5205203265693656
2017 Maruti Swift ZXI,6114.81,2017.0,1197.0,Comprehensive,Manual,11000.0,First Owner,Petrol,5.0,21.21 kmpl,Hatchback,Delhi,2017.0,0-20k,81.0,21.21,kmpl,3.389480790714058
2015 Hyundai Grand i10 AT Asta,5169.8,2015.0,1197.0,Comprehensive,Automatic,39000.0,First Owner,Petrol,5.0,18.9 kmpl,Hatchback,Delhi,2015.0,20k-60k,82.0,18.9,kmpl,3.372595906517871
2017 Land Rover Discovery Sport Petrol HSE 7S,31685.84,2017.0,1997.0,Comprehensive,Automatic,44000.0,First Owner,Petrol,7.0,12.81 kmpl,SUV,Delhi,2017.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2019 Mercedes-Benz C-Class Progressive C 220d,31685.84,2019.0,1950.0,Comprehensive,Automatic,27000.0,Second Owner,Diesel,5.0,12.6 kmpl,Sedan,Delhi,2019.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2018 Ford Ecosport 1.5 Ti VCT MT Signature BSIV,10561.95,2018.0,1499.0,Comprehensive,Manual,40000.0,First Owner,Petrol,5.0,18.88 kmpl,SUV,Delhi,2018.0,20k-60k,110.0,18.88,kmpl,3.439507660281695
2017 Maruti Swift Dzire VXI 1.2 BS IV,6225.99,2017.0,1197.0,Comprehensive,Manual,65000.0,First Owner,Petrol,5.0,22 kmpl,Sedan,Gurgaon,2017.0,60k-100k,81.0,22.0,kmpl,3.391248663612552
2017 Mercedes-Benz CLS-Class 250 CDI,31118.83,2017.0,2143.0,Comprehensive,Automatic,55000.0,Second Owner,Diesel,4.0,19.4 kmpl,Sedan,Delhi,2017.0,20k-60k,187.0,19.4,kmpl,3.5193711478045975
2011 Hyundai Verna 1.6 SX VTVT,3835.65,2011.0,1591.0,Comprehensive,Manual,37758.0,First Owner,Petrol,5.0,17.01 kmpl,Sedan,Gurgaon,2011.0,20k-60k,121.0,17.01,kmpl,3.3406470770936467
2017 Hyundai Creta 1.6 E Plus,9172.22,2018.0,1591.0,Comprehensive,Manual,62500.0,First Owner,Petrol,5.0,15.8 kmpl,SUV,Gurgaon,2017.0,60k-100k,121.0,15.8,kmpl,3.4272823285679457
2017 Mercedes-Benz C-Class Progressive C 200,26682.82,2017.0,1950.0,Comprehensive,Automatic,84000.0,Second Owner,Petrol,5.0,11.9 kmpl,Sedan,Delhi,2017.0,60k-100k,187.0,13.0,kmpl,3.5093563820731855
2017 Skoda Octavia 1.8 TSI AT Style Plus,12229.62,2017.0,1798.0,Comprehensive,Automatic,65000.0,Second Owner,Petrol,5.0,15.1 kmpl,Sedan,Delhi,2017.0,60k-100k,177.0,15.1,kmpl,3.4517348494447653
2021 Nissan Magnite Turbo XV Premium Opt BSVI,11673.73,2021.0,999.0,Comprehensive,Manual,15000.0,First Owner,Petrol,5.0,20 kmpl,SUV,Delhi,2021.0,0-20k,98.0,20.0,kmpl,3.4479064582359236
2016 Honda CR-V 2.0L 2WD AT,18288.85,2016.0,1997.0,Comprehensive,Automatic,27000.0,First Owner,Petrol,5.0,13.7 kmpl,SUV,Delhi,2016.0,20k-60k,153.0,13.7,kmpl,3.4829481912527482
2019 Land Rover Range Rover Evoque 2.0 TD4 HSE,31685.84,2019.0,1999.0,Third Party,Automatic,32000.0,First Owner,Diesel,5.0,15.68 kmpl,SUV,Gurgaon,2019.0,20k-60k,177.0,15.68,kmpl,3.5205203265693656
2018 Toyota Innova Crysta 2.8 ZX AT BSIV,19456.22,2018.0,2360.0,Third Party,Automatic,110000.0,First Owner,Diesel,7.0,11.36 kmpl,MUV,Delhi,2018.0,100k+,171.0,13.0,kmpl,3.487457844812938
2017 Toyota Camry Hybrid 2.5,19456.22,2017.0,2360.0,Comprehensive,Automatic,75000.0,Second Owner,Petrol,5.0,19.16 kmpl,Sedan,Delhi,2017.0,60k-100k,187.0,19.16,kmpl,3.487457844812938
2017 Hyundai Verna 1.6 CRDi SX,9227.81,2018.0,1582.0,Third Party,Manual,62400.0,First Owner,Diesel,5.0,23.9 kmpl,Sedan,Gurgaon,2017.0,60k-100k,126.0,23.9,kmpl,3.427815398152287
2014 Maruti Swift Dzire VXI,4335.96,2014.0,1197.0,Comprehensive,Manual,77000.0,First Owner,Petrol,5.0,19.1 kmpl,Sedan,Gurgaon,2014.0,60k-100k,85.0,19.1,kmpl,3.3540774551425314
2016 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,6837.47,2016.0,1497.0,Third Party,Automatic,80002.0,First Owner,Petrol,5.0,14.8 kmpl,SUV,Gurgaon,2016.0,60k-100k,121.0,14.8,kmpl,3.400305067087012
2021 Mercedes-Benz G G 350d,2501.51,2021.0,2360.0,Comprehensive,Automatic,36000.0,First Owner,Diesel,5.0,8.13 kmpl,SUV,Delhi,2021.0,20k-60k,187.0,13.0,kmpl,3.2902447450748276
2020 Hyundai i20 Asta 1.2,7404.48,2021.0,1197.0,Comprehensive,Manual,42110.0,First Owner,Petrol,5.0,18.6 kmpl,Hatchback,Chandigarh,2020.0,20k-60k,81.0,18.6,kmpl,3.4078307929655036
2014 Ford Ecosport 1.5 DV5 MT Trend,4391.55,2014.0,1498.0,Third Party,Manual,66000.0,First Owner,Diesel,5.0,22.7 kmpl,SUV,Gurgaon,2014.0,60k-100k,89.0,22.7,kmpl,3.3554479842845875
2016 Toyota Corolla Altis 1.8 G,9450.16,2016.0,1798.0,Comprehensive,Manual,81800.0,First Owner,Petrol,5.0,14.28 kmpl,Sedan,Gurgaon,2016.0,60k-100k,138.0,14.28,kmpl,3.42990762463412
2017 Mahindra XUV500 AT W10 1.99 mHawk,11896.09,2017.0,1997.0,Comprehensive,Automatic,76700.0,First Owner,Diesel,7.0,16 kmpl,SUV,Gurgaon,2017.0,60k-100k,140.0,16.0,kmpl,3.4494649916778073
2014 Chevrolet Sail 1.3 LS,2501.51,2014.0,1248.0,Third Party,Manual,67000.0,First Owner,Diesel,5.0,22.1 kmpl,Sedan,Gurgaon,2014.0,60k-100k,74.0,22.1,kmpl,3.2902447450748276
2015 Hyundai i20 Magna 1.2,5058.62,2015.0,1197.0,Third Party,Manual,88200.0,First Owner,Petrol,5.0,18.6 kmpl,Hatchback,Gurgaon,2015.0,60k-100k,81.0,18.6,kmpl,3.370353662223006
2015 Honda City i VTEC CVT SV,6337.17,2015.0,1497.0,Comprehensive,Automatic,120000.0,First Owner,Petrol,5.0,18 kmpl,Sedan,Gurgaon,2015.0,100k+,117.0,18.0,kmpl,3.3929770139242046
2018 Toyota Innova Crysta 2.8 GX AT BSIV,17399.42,2018.0,2360.0,Comprehensive,Automatic,120000.0,First Owner,Diesel,7.0,11.36 kmpl,MUV,Gurgaon,2018.0,100k+,171.0,13.0,kmpl,3.4792602426050183
2019 Toyota Innova Crysta 2.8 GX AT BSIV,18844.74,2019.0,2360.0,Third Party,Automatic,112000.0,First Owner,Diesel,7.0,11.36 kmpl,MUV,Gurgaon,2019.0,100k+,171.0,13.0,kmpl,3.4851397421469885
2016 Maruti Swift Dzire VXI 1.2 BS IV,5336.56,2016.0,1197.0,Third Party,Manual,82000.0,First Owner,Petrol,5.0,22 kmpl,Sedan,Gurgaon,2016.0,60k-100k,81.0,22.0,kmpl,3.375847040002554
2019 Maruti Wagon R AMT VXI Option,6114.81,2020.0,998.0,Comprehensive,Automatic,74740.0,First Owner,Petrol,5.0,20.51 kmpl,Hatchback,Gurgaon,2019.0,60k-100k,67.0,20.51,kmpl,3.389480790714058
2013 Maruti Wagon R VXI,3201.94,2013.0,998.0,Comprehensive,Manual,28144.0,First Owner,Petrol,5.0,21.79 kmpl,Hatchback,Gurgaon,2013.0,20k-60k,67.0,21.79,kmpl,3.3200505708615546
2018 Maruti Alto K10 VXI AGS Optional,4224.78,2018.0,998.0,Comprehensive,Automatic,67000.0,First Owner,Petrol,5.0,23.95 kmpl,Hatchback,Gurgaon,2018.0,60k-100k,67.0,23.95,kmpl,3.3512684478272874
2013 Maruti Swift VXI,4113.6,2014.0,1197.0,Comprehensive,Manual,74000.0,Second Owner,Petrol,5.0,18.6 kmpl,Hatchback,Gurgaon,2013.0,60k-100k,85.0,18.6,kmpl,3.34836425909672
2019 Mercedes-Benz CLA 200 CGI Sport,31685.84,2019.0,1991.0,Third Party,Automatic,27000.0,Second Owner,Petrol,5.0,15.04 kmpl,Sedan,Gurgaon,2019.0,20k-60k,183.0,15.04,kmpl,3.5205203265693656
2017 Maruti Alto K10 VXI,3446.53,2017.0,998.0,Comprehensive,Manual,56200.0,First Owner,Petrol,5.0,23.95 kmpl,Hatchback,Gurgaon,2017.0,20k-60k,67.0,23.95,kmpl,3.3285659958582654
2012 Honda New Accord 2.4 A/T,5503.33,2012.0,2354.0,Third Party,Automatic,39000.0,First Owner,Petrol,5.0,11.7 kmpl,Sedan,Delhi,2012.0,20k-60k,177.0,13.0,kmpl,3.378972216652173
2017 Ford Ecosport 1.5 TDCi Titanium Plus BSIV,7726.9,2017.0,1498.0,Third Party,Manual,62000.0,First Owner,Diesel,5.0,22.77 kmpl,SUV,Delhi,2017.0,60k-100k,98.0,22.77,kmpl,3.411792085267235
2018 Mahindra Scorpio S7 140 BSIV,12174.03,2018.0,2179.0,Comprehensive,Manual,71000.0,First Owner,Diesel,7.0,16.36 kmpl,SUV,Delhi,2018.0,60k-100k,140.0,16.36,kmpl,3.451362008346543
2019 Tata Tiago 1.2 Revotron XTA,5670.1,2020.0,1199.0,Comprehensive,Automatic,49000.0,Second Owner,Petrol,5.0,23.84 kmpl,Hatchback,Gurgaon,2019.0,20k-60k,84.0,23.84,kmpl,3.381979738928306
2017 Hyundai i20 Magna 1.2,4891.85,2017.0,1197.0,Third Party,Manual,111363.0,First Owner,Petrol,5.0,18.6 kmpl,Hatchback,Chandigarh,2017.0,100k+,81.0,18.6,kmpl,3.366870643566446
2018 Maruti Baleno 1.2 Zeta,6948.65,2018.0,1197.0,Comprehensive,Manual,40820.0,First Owner,Petrol,5.0,21.4 kmpl,Hatchback,Gurgaon,2018.0,20k-60k,83.0,21.4,kmpl,3.401841642838838
2019 Mercedes-Benz GLE 43 AMG Coupe,31685.84,2019.0,2360.0,Third Party,Automatic,24000.0,First Owner,Petrol,5.0,8.9 kmpl,SUV,Gurgaon,2019.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2019 Land Rover Range Rover 4.4 Diesel LWB SVAutobiography,2167.98,2019.0,2360.0,Third Party,Automatic,70000.0,First Owner,Diesel,5.0,11.49 kmpl,SUV,Gurgaon,2019.0,60k-100k,187.0,13.0,kmpl,3.2720495782982733
2021 BMW 3 Series 330i M Sport,31685.84,2021.0,1998.0,Third Party,Automatic,11000.0,First Owner,Petrol,5.0,16.13 kmpl,Sedan,Gurgaon,2021.0,0-20k,187.0,16.13,kmpl,3.5205203265693656
2022 BMW X3 xDrive30i M Sport,31685.84,2022.0,1998.0,Third Party,Automatic,18000.0,First Owner,Petrol,5.0,13.17 kmpl,SUV,Gurgaon,2022.0,0-20k,187.0,13.17,kmpl,3.5205203265693656
2016 Mercedes-Benz GLS 400 4MATIC,31685.84,2016.0,2360.0,Comprehensive,Automatic,15000.0,First Owner,Petrol,7.0,8.9 kmpl,SUV,Delhi,2016.0,0-20k,187.0,13.0,kmpl,3.5205203265693656
2019 Mercedes-Benz E-Class Exclusive E 220 d BSIV,31685.84,2019.0,1950.0,Third Party,Automatic,54000.0,First Owner,Diesel,5.0,16.1 kmpl,Sedan,Gurgaon,2019.0,20k-60k,187.0,16.1,kmpl,3.5205203265693656
2020 BMW X3 xDrive 20d xLine,31685.84,2020.0,1995.0,Third Party,Automatic,38000.0,First Owner,Diesel,5.0,18.56 kmpl,SUV,Gurgaon,2020.0,20k-60k,187.0,18.56,kmpl,3.5205203265693656
2021 BMW 5 Series 520d Luxury Line,31685.84,2021.0,1995.0,Third Party,Automatic,18000.0,First Owner,Diesel,5.0,20.37 kmpl,Sedan,Gurgaon,2021.0,0-20k,187.0,20.369999999999997,kmpl,3.5205203265693656
2020 Mercedes-Benz GLE 43 AMG Coupe,31685.84,2020.0,2360.0,Third Party,Automatic,21000.0,First Owner,Petrol,5.0,8.9 kmpl,SUV,Gurgaon,2020.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2020 Mercedes-Benz C-Class Progressive C 200,31685.84,2020.0,1950.0,Third Party,Automatic,23000.0,First Owner,Petrol,5.0,11.9 kmpl,Sedan,Gurgaon,2020.0,20k-60k,187.0,13.0,kmpl,3.5205203265693656
2022 BMW X1 sDrive20i xLine,31685.84,2022.0,1998.0,Comprehensive,Automatic,18000.0,First Owner,Petrol,5.0,14.82 kmpl,SUV,Gurgaon,2022.0,0-20k,187.0,14.82,kmpl,3.5205203265693656
2021 Mercedes-Benz E-Class Exclusive E 220d,31685.84,2021.0,1950.0,Comprehensive,Automatic,14000.0,First Owner,Diesel,5.0,16.1 kmpl,Sedan,Gurgaon,2021.0,0-20k,187.0,16.1,kmpl,3.5205203265693656
2020 Mercedes-Benz CLA Urban Sport 200d,30574.06,2020.0,2143.0,Comprehensive,Automatic,21000.0,Second Owner,Diesel,5.0,17.9 kmpl,Sedan,Gurgaon,2020.0,20k-60k,134.0,17.9,kmpl,3.5182417951537697
2019 Mercedes-Benz CLA Urban Sport 200,31685.84,2019.0,1991.0,Comprehensive,Automatic,42000.0,First Owner,Petrol,5.0,15.04 kmpl,Sedan,Gurgaon,2019.0,20k-60k,184.0,15.04,kmpl,3.5205203265693656
2020 Mercedes-Benz GLC Coupe 300d 4MATIC BSVI,31685.84,2020.0,1950.0,Third Party,Automatic,19000.0,First Owner,Diesel,5.0,16.34 kmpl,Coupe,Gurgaon,2020.0,0-20k,187.0,16.34,kmpl,3.5205203265693656
2018 BMW X5 xDrive 30d Design Pure Experience 5 Seater,31685.84,2018.0,2360.0,Third Party,Automatic,90000.0,First Owner,Diesel,5.0,15.97 kmpl,SUV,Gurgaon,2018.0,60k-100k,187.0,15.970000000000002,kmpl,3.5205203265693656
2020 BMW X1 sDrive20i SportX,31685.84,2020.0,1998.0,Third Party,Automatic,28000.0,First Owner,Petrol,5.0,14.82 kmpl,SUV,Gurgaon,2020.0,20k-60k,187.0,14.82,kmpl,3.5205203265693656
2022 Tata Harrier XTA Plus AT BSVI,21401.84,2022.0,1956.0,Third Party,Automatic,11000.0,First Owner,Diesel,5.0,14.6 kmpl,SUV,Gurgaon,2022.0,0-20k,167.0,14.6,kmpl,3.4942607159625507
2020 Mahindra Scorpio S11,17177.06,2020.0,2179.0,Third Party,Manual,60000.0,First Owner,Diesel,7.0,15.4 kmpl,SUV,Gurgaon,2020.0,20k-60k,136.0,15.4,kmpl,3.478300819115356
2015 Hyundai i20 Asta Option 1.2,5503.33,2015.0,1197.0,Third Party,Manual,55000.0,Second Owner,Petrol,5.0,18.6 kmpl,Hatchback,Delhi,2015.0,20k-60k,81.0,18.6,kmpl,3.378972216652173
2022 Tata New Safari XZA Plus 6Str Kaziranga Edition AT,24459.25,2022.0,1956.0,Third Party,Automatic,19000.0,First Owner,Diesel,6.0,14.08 kmpl,SUV,Gurgaon,2022.0,0-20k,167.0,14.08,kmpl,3.5035061996745127
2020 BMW X5 xDrive 30d xLine,31685.84,2020.0,2360.0,Third Party,Automatic,30000.0,First Owner,Diesel,5.0,13.38 kmpl,SUV,Gurgaon,2020.0,20k-60k,187.0,13.38,kmpl,3.5205203265693656
2018 BMW 7 Series 730Ld DPE Signature,31685.84,2018.0,2360.0,Third Party,Automatic,18000.0,First Owner,Diesel,5.0,16.77 kmpl,Sedan,Gurgaon,2018.0,0-20k,187.0,16.77,kmpl,3.5205203265693656
2013 Renault Scala Diesel RxZ,3279.76,2013.0,1461.0,Comprehensive,Manual,85000.0,First Owner,Diesel,5.0,21.64 kmpl,Sedan,Delhi,2013.0,60k-100k,84.0,21.64,kmpl,3.3228468160406965
2014 Audi A8 L 3.0 TDI quattro,31685.84,2014.0,2360.0,Comprehensive,Automatic,26000.0,Second Owner,Diesel,4.0,16.77 kmpl,Sedan,Delhi,2014.0,20k-60k,187.0,16.77,kmpl,3.5205203265693656
